Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,892,7 Seats available,"3.4
37",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,507,27 Seats available,"4.5
4",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,507,21 Seats available,"4.5
10",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 591,A/C Executive (2+3),21:00,07:20,10h 20m,622,40 Seats available,"3.8
44",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,06:30,09h 28m,892,10 Seats available,"4.6
89",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,06:45,09h 20m,507,33 Seats available,"2.6
9",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36,05:30,07h 54m,867,21 Seats available,"4.0
65",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 518,Ordinary 3+2 Non AC Seater,21:58,07:15,09h 17m,507,27 Seats available,"2.5
13",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00,07:30,09h 30m,892,22 Seats available,"4.7
77",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,08:15,09h 45m,507,27 Seats available,"4.1
16",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30,06:30,08h 00m,867,7 Seats available,"4.2
75",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00,07:50,08h 50m,892,18 Seats available,"4.4
87",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,09:05,09h 25m,507,33 Seats available,"4.7
20",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:55,07:40,09h 45m,750,28 Seats available,"4.5
593",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,569,28 Seats available,"4.3
813",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:05,08:10,10h 05m,497,16 Seats available,"4.3
455",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Bharat Benz A/C Semi Sleeper (2+2),22:50,07:40,08h 50m,499,11 Seats available,"4.1
299",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
FlixBus,Volvo A/C Seater (2+2),23:55,08:35,08h 40m,865,12 Seats available,"4.1
24",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 188,Ordinary 3+2 Non AC Seater,19:25,04:57,09h 32m,507,37 Seats available,4.2,Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 74,Himsuta AC Seater Volvo/Scania 2+2,20:00,05:00,09h 00m,892,26 Seats available,"4.4
82",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,21:00,06:00,09h 00m,892,24 Seats available,"4.5
70",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 108,A/C Executive (2+3),21:20,06:52,09h 32m,622,44 Seats available,"3.6
30",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 19,Himsuta AC Seater Volvo/Scania 2+2,21:30,06:00,08h 30m,892,20 Seats available,"4.4
72",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 130,Ordinary 3+2 Non AC Seater,21:45,06:15,08h 30m,507,32 Seats available,"4.4
10",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 136,Ordinary 3+2 Non AC Seater,22:30,06:30,08h 00m,507,26 Seats available,"3.4
7",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Bedi Travels,Volvo A/C Semi Sleeper (2+2),21:30,05:30,08h 00m,450,13 Seats available,"4.5
730",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:55,06:35,08h 40m,550,23 Seats available,"4.5
528",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),20:30,04:50,08h 20m,392,27 Seats available,"4.3
432",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,04:30,08h 00m,450,35 Seats available,"4.2
690",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,05:30,07h 00m,529,17 Seats available,"3.9
452",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 759,Himsuta AC Seater Volvo/Scania 2+2,20:00,04:10,08h 10m,938,32 Seats available,"2.5
4",Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
HRTC - 737,Ordinary 3+2 Non AC Seater,20:10,05:00,08h 50m,555,37 Seats available,"2.3
4",Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
HRTC - 803,Ordinary 3+2 Non AC Seater,20:30,06:00,09h 30m,549,20 Seats available,3.9,Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
HRTC - 701,Ordinary 3+2 Non AC Seater,21:30,05:30,08h 00m,560,37 Seats available,3.9,Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
HRTC - 713,Himsuta AC Seater Volvo/Scania 2+2,22:00,06:00,08h 00m,920,24 Seats available,"4.0
34",Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,03:10,06h 10m,499,25 Seats available,"4.8
128",Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,03:30,05h 30m,569,24 Seats available,"4.6
223",Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:30,03:15,05h 45m,499,39 Seats available,"4.4
127",Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),18:00,00:30,06h 30m,494,22 Seats available,"4.7
72",Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),20:00,02:30,06h 30m,499,13 Seats available,"4.6
51",Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
HRTC - 58,Himsuta AC Seater Volvo/Scania 2+2,20:40,05:00,08h 20m,920,32 Seats available,"4.6
13",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
HRTC - 1544,Ordinary 3+2 Non AC Seater,21:40,07:50,10h 10m,575,25 Seats available,3.9,Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
HRTC - 1522,Himsuta AC Seater Volvo/Scania 2+2,22:00,06:30,08h 30m,920,23 Seats available,"4.8
50",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:50,05:30,06h 40m,617,10 Seats available,"4.7
436",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),23:40,06:10,06h 30m,641,11 Seats available,"4.6
502",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),23:30,06:00,06h 30m,617,7 Seats available,"4.6
294",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:45,06:30,06h 45m,617,9 Seats available,"4.5
379",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
GLOBAL HOLIDAYS ADVENTURE TOURS,A/C Semi Sleeper (2+2),22:35,07:10,08h 35m,532,28 Seats available,"3.1
72",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
GLOBAL HOLIDAYS ADVENTURE TOURS,A/C Semi Sleeper (2+2),22:25,07:00,08h 35m,463,30 Seats available,"3.6
202",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Reo India Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),23:59,07:25,07h 26m,600,17 Seats available,"3.3
41",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Malana Travels,Volvo A/C Semi Sleeper (2+2),23:58,05:30,05h 32m,559,20 Seats available,"4.6
32",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Rao Travel Heights,Volvo A/C Semi Sleeper (2+2),23:40,07:00,07h 20m,1649,41 Seats available,4.0,Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
Abtc Tour and Travels,Bharat Benz A/C Semi Sleeper (2+2),01:00,07:00,06h 00m,1350,31 Seats available,"3.4
6",Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
HRTC - 703,Himsuta AC Seater Volvo/Scania 2+2,19:00,06:00,11h 00m,1428,26 Seats available,"3.5
24",Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali
