Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
SBSTC-BANKURA - KARUNAMOYEE - A/C - 15:15 - 1500,AC Seater (2+2),17:00,21:00,04h 00m,300,33 Seats available,"2.0
94",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-ASANSOL - KARUNAMOYEE - 16:10 (BEL DEPOT) - 217,Non AC Seater (2+3),17:25,21:25,04h 00m,155,50 Seats available,"3.5
74",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-ASANSOL - KOLKATA - 16:30 (HOWRAH DEPOT) - 752,Non AC Seater (2+3),17:40,21:10,03h 30m,150,50 Seats available,"4.1
38",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SBSTC-ASANSOL - KARUNAMOYEE - 16:40 (ASANSOL DEPOT) - 847,Non AC Seater (2+3),17:50,22:00,04h 10m,155,48 Seats available,"3.8
74",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),16:00,20:00,04h 00m,486,36 Seats available,"4.3
367",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Greenline,Volvo A/C Seater (2+2),16:00,19:50,03h 50m,486,17 Seats available,"4.2
159",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),16:30,20:25,03h 55m,486,27 Seats available,"4.6
114",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C Semi Sleeper (2+2),16:45,20:45,04h 00m,486,10 Seats available,"4.2
160",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo Multi-Axle A/C Semi Sleeper (2+2),16:45,20:45,04h 00m,486,18 Seats available,"4.0
274",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,03:35,06h 20m,520,52 Seats available,3.8,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Arunita Paribahan,A/C Seater (2+3),23:35,05:00,05h 25m,370,21 Seats available,3.0,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,23:55,05h 20m,500,20 Seats available,"1.2
9",Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Satya Paribahan,A/C Seater (2+3),23:00,05:10,06h 10m,324,29 Seats available,"2.9
31",Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,05:00,05h 25m,330,23 Seats available,"2.7
17",Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Aradhana Bus Service,A/C Seater / Sleeper (2+2),23:00,04:30,05h 30m,550,64 Seats available,"2.1
6",Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
SBSTC-KOLKATA - DIGHA - 23:30 (DIGHA DEPOT) - 3988,Non AC Seater (2+3),23:30,04:00,04h 30m,155,52 Seats available,"3.8
15",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-GARIA - DIGHA - 22:30 (DIGHA DEPOT) - 3745,Non AC Seater (2+3),23:45,04:15,04h 30m,155,50 Seats available,"4.2
244",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04:30,05h 00m,300,28 Seats available,"4.5
339",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Express Line,Volvo 9600 A/C Seater (2+2),23:45,04:45,05h 00m,359,19 Seats available,"4.4
310",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,370,28 Seats available,"4.5
64",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,05:30,07h 30m,370,28 Seats available,"4.3
181",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,338,25 Seats available,"3.9
92",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Sagufta Travels (Bhorpet Travels),AC Seater (2+2),23:55,04:35,04h 40m,338,24 Seats available,"4.0
49",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Sagufta Travels (Mayuri),A/C Seater (2+2),23:15,04:00,04h 45m,338,18 Seats available,"4.8
16",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Parameswar Travels,A/C Seater Push Back (2+3),23:45,05:00,05h 15m,230,51 Seats available,"3.1
123",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
City Express (Shinjini),AC Seater (2+3),23:50,04:55,05h 05m,270,35 Seats available,"3.0
69",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Basu Travels,A/C Seater Push Back (2+3),23:30,04:30,05h 00m,300,20 Seats available,"3.9
20",Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SBSTC-KOLKATA - SURI - 16: 30 - (Suri Depot) - 653,Non AC Seater (2+3),16:30,22:00,05h 30m,190,45 Seats available,"4.2
10",Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
SBSTC-KOLKATA - SURI - 18:00 - (Suri Depot) - 1205,Non AC Seater (2+3),18:00,23:00,05h 00m,190,51 Seats available,"2.7
21",Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
SBSTC-DIGHA - GARIA - VIA - KOLKATA - 16:40 (FALTA DEPOT - 3704,Non AC Seater (2+3),16:40,21:10,04h 30m,155,50 Seats available,"3.3
45",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
SBSTC-DIGHA - KOLKATA - 17:15 (DIGHA DEPOT) - 1158,Non AC Seater (2+3),17:15,21:45,04h 30m,155,52 Seats available,3.5,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
WBTC (CTC) Tollygunge - Digha - 200|16:30,Non AC Seater (2+3),16:30,20:45,04h 15m,145,44 Seats available,"3.7
28",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
City Express (Shinjini),AC Seater (2+3),22:45,04:10,05h 25m,290,26 Seats available,"4.0
26",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Sneha Gold Bus Service,A/C Seater (2+3),16:30,21:30,05h 00m,300,13 Seats available,"4.3
15",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Satya Paribahan,A/C Seater (2+3),23:00,03:45,04h 45m,324,29 Seats available,"2.9
32",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,04:10,05h 25m,320,30 Seats available,"2.9
29",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Parameswar Travels,A/C Seater Push Back (2+3),20:00,01:35,05h 35m,285,20 Seats available,"3.4
8",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,03:45,04h 10m,330,23 Seats available,"2.6
14",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Parameswar Travels,A/C Seater Push Back (2+3),18:10,23:15,05h 05m,285,31 Seats available,"2.7
12",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Basu Travels,A/C Seater Push Back (2+3),17:30,22:30,05h 00m,419,30 Seats available,"2.3
8",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Parameswar Travels,A/C Seater Push Back (2+3),21:00,03:00,06h 00m,285,15 Seats available,"2.0
10",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
SBSTC-KARUNAMOYEE - BANKURA - VIA - DURGAPUR - 16:45 - 311,Non AC Seater (2+3),16:45,21:00,04h 15m,155,37 Seats available,"3.9
96",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SBSTC-KOLKATA - ASANSOL - L/S - 17:00 (ASANSOL DEPOT) - 769,Non AC Seater (2+3),17:00,20:30,03h 30m,150,52 Seats available,"3.3
19",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SBSTC-KOLKATA - DURGAPUR - 17:15 (DGP DEPOT) - 173,Non AC Seater (2+3),17:15,20:45,03h 30m,150,52 Seats available,"3.6
10",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SBSTC-KOLKATA - JAMURIA - VIA - DURGAPUR - 17:30 - 300,Non AC Seater (2+3),17:30,21:00,03h 30m,150,52 Seats available,"4.0
13",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SBSTC-KARUNAMOYEE - DURGAPUR - 17:30 (DGP DEPOT) - 181,Non AC Seater (2+3),17:30,21:15,03h 45m,155,46 Seats available,"3.9
215",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,Non AC Seater (2+3),18:30,22:00,03h 30m,150,52 Seats available,"3.6
61",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Express Line (Karunamoyee),Volvo A/C Seater (2+2),16:00,19:45,03h 45m,486,32 Seats available,"4.9
251",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Greenline,Volvo 9600 Multi Axle Semi-Sleeper (2+2),16:00,19:15,03h 15m,486,16 Seats available,"4.7
138",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Express Line,Volvo 9600 A/C Semi Sleeper (2+2),16:10,18:30,02h 20m,486,34 Seats available,"4.4
84",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),16:15,20:15,04h 00m,486,18 Seats available,"4.3
276",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),16:40,20:40,04h 00m,486,31 Seats available,"4.4
121",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SBSTC-ASANSOL - KOLKATA - 16:30 (HOWRAH DEPOT) - 752,Non AC Seater (2+3),16:30,21:00,04h 30m,180,50 Seats available,"2.6
24",Asansol (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/asansol-to-kolkata
