Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
SBSTC-BURDWAN - KARUNAMOYEE - 17:30 (BWN DEPOT) - 60,Non AC Seater (2+3),17:30,20:00,02h 30m,100,37 Seats available,"3.8
147",Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SBSTC-BURDWAN - KARUNAMOYEE - 18:30 (BWN DEPOT) - 61,Non AC Seater (2+3),18:30,21:00,02h 30m,100,44 Seats available,"4.1
78",Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),17:00,20:00,03h 00m,429,32 Seats available,"3.7
84",Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),17:40,20:25,02h 45m,429,28 Seats available,"4.6
42",Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo Multi-Axle A/C Semi Sleeper (2+2),17:45,20:45,03h 00m,429,13 Seats available,"3.8
28",Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C Semi Sleeper (2+2),17:55,20:45,02h 50m,429,12 Seats available,"3.8
32",Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
Greenline,Volvo A/C Seater (2+2),18:15,21:05,02h 50m,429,24 Seats available,4.1,Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:30,21:20,02h 50m,429,28 Seats available,"3.2
12",Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),19:10,21:50,02h 40m,429,29 Seats available,"3.7
35",Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),19:40,22:50,03h 10m,429,38 Seats available,"4.2
16",Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
Greenline,Volvo A/C Seater (2+2),17:00,19:50,02h 50m,429,20 Seats available,"2.8
13",Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
SBSTC-KARUNAMOYEE - BURDWAN - 17:30 (BWN DEPOT) - 465,Non AC Seater (2+3),17:30,19:30,02h 00m,100,32 Seats available,"3.5
138",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KOLKATA - DINANATHPUR - VIA - BURDWAN - 17:30 (BWN - 2952,Non AC Seater (2+3),17:30,19:30,02h 00m,95,52 Seats available,"3.1
19",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KARUNAMOYEE - BURDWAN - 18:15 (BWN DEPOT) - 119,Non AC Seater (2+3),18:15,20:15,02h 00m,100,38 Seats available,"3.3
141",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KOLKATA - BURDWAN - 18:15 (BWN DEPOT) - 96,Non AC Seater (2+3),18:15,20:15,02h 00m,95,51 Seats available,"3.3
69",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KOLKATA - BURDWAN - A/C - 18:45 (BWN DEPOT) - 97,AC Seater (2+2),18:45,20:45,02h 00m,180,28 Seats available,"3.3
71",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KARUNAMOYEE - BURDWAN - A/C - 18:45 (BWN DEPOT) - 1674,AC Seater (2+2),18:45,20:45,02h 00m,200,33 Seats available,"3.0
91",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KARUNAMOYEE - BURDWAN - 19:30 (BWN DEPOT) - 120,Non AC Seater (2+3),19:30,21:30,02h 00m,100,49 Seats available,"4.0
109",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KOLKATA - BURDWAN - 20:00 (BWN DEPOT) - 103,Non AC Seater (2+3),20:00,22:00,02h 00m,95,49 Seats available,"3.5
32",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:15,18:45,01h 30m,429,17 Seats available,"4.5
41",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:30,20:00,02h 30m,429,32 Seats available,"4.5
90",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Greenline,Volvo A/C Seater (2+2),18:05,20:45,02h 40m,429,37 Seats available,"4.5
10",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),18:40,20:40,02h 00m,429,31 Seats available,"4.8
16",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),19:30,22:15,02h 45m,370,44 Seats available,"1.7
8",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KOLKATA - HALDIA - 17.30 (HALDIA DEPOT) - 565,Non AC Seater (2+3),17:30,20:30,03h 00m,110,37 Seats available,"4.2
137",Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
SBSTC-KOLKATA - HALDIA - 18.15 (HALDIA DEPOT) - 566,Non AC Seater (2+3),18:15,21:15,03h 00m,110,44 Seats available,"3.7
191",Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
Swapna Paribahan,Non AC Seater (2+3),17:00,21:25,04h 25m,139,20 Seats available,New,Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
